epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.173,4.17783,3.73032,2.4589,0.34467,0.02769,0.02788,0.0096,3.23489,2.86026,1.60077,0.0700741,0.0033251,0.0033251
2,107.959,2.88045,2.58234,1.55946,0.28039,0.07932,0.05838,0.02511,2.43056,2.12253,1.3519,0.0400082,0.00659252,0.00659252
3,155.682,2.47332,2.21276,1.38031,0.22284,0.0999,0.07122,0.03241,2.23794,1.87574,1.27776,0.00987624,0.00979393,0.00979393
4,203.002,2.25765,1.98029,1.28983,0.13917,0.14145,0.09999,0.04753,2.04298,1.72072,1.18209,0.009703,0.009703,0.009703
5,250.084,2.11621,1.83399,1.23218,0.16778,0.14642,0.11139,0.05575,1.94754,1.59661,1.14743,0.009604,0.009604,0.009604
6,297.936,2.02409,1.72735,1.19181,0.18756,0.15378,0.12151,0.05882,1.95297,1.56491,1.13751,0.009505,0.009505,0.009505
7,345.087,1.94807,1.65418,1.17351,0.19377,0.17815,0.13716,0.0684,1.83177,1.50912,1.11312,0.009406,0.009406,0.009406
8,392.585,1.8964,1.59671,1.14475,0.22756,0.18054,0.15143,0.07787,1.77422,1.41516,1.09005,0.009307,0.009307,0.009307
9,439.78,1.8614,1.56359,1.13752,0.23894,0.19763,0.15624,0.08217,1.74604,1.41153,1.08313,0.009208,0.009208,0.009208
10,487.005,1.82755,1.51985,1.1278,0.25315,0.20659,0.16839,0.08854,1.71198,1.36866,1.07339,0.009109,0.009109,0.009109
11,534.113,1.79179,1.48494,1.11632,0.26346,0.20098,0.16462,0.08759,1.6892,1.35401,1.06491,0.00901,0.00901,0.00901
12,581.551,1.76937,1.4539,1.10821,0.27826,0.20969,0.18378,0.09709,1.66168,1.30354,1.05889,0.008911,0.008911,0.008911
13,628.683,1.75035,1.43182,1.09883,0.27106,0.21043,0.1839,0.09754,1.64831,1.30596,1.05115,0.008812,0.008812,0.008812
14,675.93,1.71698,1.39602,1.0875,0.30275,0.21791,0.19341,0.10298,1.63029,1.28218,1.04389,0.008713,0.008713,0.008713
15,723.246,1.71264,1.3844,1.08632,0.29936,0.2197,0.19953,0.10796,1.60555,1.24689,1.03843,0.008614,0.008614,0.008614
16,770.559,1.69723,1.372,1.08081,0.27929,0.22775,0.19734,0.10455,1.60685,1.26704,1.03774,0.008515,0.008515,0.008515
17,817.366,1.67467,1.34558,1.07806,0.28756,0.22368,0.20188,0.10687,1.60273,1.24889,1.034,0.008416,0.008416,0.008416
18,864.706,1.67702,1.33708,1.07128,0.30678,0.23926,0.2134,0.11526,1.56874,1.21871,1.02718,0.008317,0.008317,0.008317
19,912.17,1.65853,1.32448,1.0683,0.29822,0.23135,0.21119,0.11346,1.56911,1.2245,1.02461,0.008218,0.008218,0.008218
20,959.048,1.64295,1.30733,1.06611,0.33499,0.23301,0.21435,0.11589,1.55338,1.20335,1.01829,0.008119,0.008119,0.008119
21,1006.29,1.6311,1.2992,1.05926,0.32224,0.24022,0.22183,0.12056,1.53976,1.19046,1.01683,0.00802,0.00802,0.00802
22,1053.44,1.62169,1.28333,1.05494,0.30981,0.24391,0.21919,0.11954,1.54658,1.18217,1.01731,0.007921,0.007921,0.007921
23,1100.64,1.61229,1.27117,1.05223,0.32897,0.24626,0.22848,0.1255,1.53051,1.17332,1.01215,0.007822,0.007822,0.007822
